"","X4","X5","X6","X7","X8","X9","Page","Country","Platform","Date","Visit","dayOfTheWeek","month"
"1","2NE1_zh","wikipedia","org_all-access_spider","2NE1_zh","wikipedia","org_all-access_spider","2NE1_zh","zh","spider",2015-07-01,18,"Wed",7
"2","2PM_zh","wikipedia","org_all-access_spider","2PM_zh","wikipedia","org_all-access_spider","2PM_zh","zh","spider",2015-07-01,11,"Wed",7
"3","3C_zh","wikipedia","org_all-access_spider","3C_zh","wikipedia","org_all-access_spider","3C_zh","zh","spider",2015-07-01,1,"Wed",7
"4","4minute_zh","wikipedia","org_all-access_spider","4minute_zh","wikipedia","org_all-access_spider","4minute_zh","zh","spider",2015-07-01,35,"Wed",7
"5","52_Hz_I_Love_You_zh","wikipedia","org_all-access_spider","52_Hz_I_Love_You_zh","wikipedia","org_all-access_spider","52_Hz_I_Love_You_zh","zh","spider",2015-07-01,0,"Wed",7
"6","5566_zh","wikipedia","org_all-access_spider","5566_zh","wikipedia","org_all-access_spider","5566_zh","zh","spider",2015-07-01,12,"Wed",7
"7","91Days_zh","wikipedia","org_all-access_spider","91Days_zh","wikipedia","org_all-access_spider","91Days_zh","zh","spider",2015-07-01,0,"Wed",7
"8","A'N'D_zh","wikipedia","org_all-access_spider","A'N'D_zh","wikipedia","org_all-access_spider","A'N'D_zh","zh","spider",2015-07-01,118,"Wed",7
"9","AKB48_zh","wikipedia","org_all-access_spider","AKB48_zh","wikipedia","org_all-access_spider","AKB48_zh","zh","spider",2015-07-01,5,"Wed",7
"10","ASCII_zh","wikipedia","org_all-access_spider","ASCII_zh","wikipedia","org_all-access_spider","ASCII_zh","zh","spider",2015-07-01,6,"Wed",7
"11","ASTRO_zh","wikipedia","org_all-access_spider","ASTRO_zh","wikipedia","org_all-access_spider","ASTRO_zh","zh","spider",2015-07-01,0,"Wed",7
"12","Ahq_e-Sports_Club_zh","wikipedia","org_all-access_spider","Ahq_e-Sports_Club_zh","wikipedia","org_all-access_spider","Ahq_e-Sports_Club_zh","zh","spider",2015-07-01,2,"Wed",7
"13","All_your_base_are_belong_to_us_zh","wikipedia","org_all-access_spider","All_your_base_are_belong_to_us_zh","wikipedia","org_all-access_spider","All_your_base_are_belong_to_us_zh","zh","spider",2015-07-01,2,"Wed",7
"14","AlphaGo_zh","wikipedia","org_all-access_spider","AlphaGo_zh","wikipedia","org_all-access_spider","AlphaGo_zh","zh","spider",2015-07-01,0,"Wed",7
"15","Android_zh","wikipedia","org_all-access_spider","Android_zh","wikipedia","org_all-access_spider","Android_zh","zh","spider",2015-07-01,8,"Wed",7
"16","Angelababy_zh","wikipedia","org_all-access_spider","Angelababy_zh","wikipedia","org_all-access_spider","Angelababy_zh","zh","spider",2015-07-01,40,"Wed",7
"17","Apink_zh","wikipedia","org_all-access_spider","Apink_zh","wikipedia","org_all-access_spider","Apink_zh","zh","spider",2015-07-01,61,"Wed",7
"18","Apple_II_zh","wikipedia","org_all-access_spider","Apple_II_zh","wikipedia","org_all-access_spider","Apple_II_zh","zh","spider",2015-07-01,4,"Wed",7
"19","As_One_zh","wikipedia","org_all-access_spider","As_One_zh","wikipedia","org_all-access_spider","As_One_zh","zh","spider",2015-07-01,13,"Wed",7
"20","B-PROJECT_zh","wikipedia","org_all-access_spider","B-PROJECT_zh","wikipedia","org_all-access_spider","B-PROJECT_zh","zh","spider",2015-07-01,0,"Wed",7
"21","B1A4_zh","wikipedia","org_all-access_spider","B1A4_zh","wikipedia","org_all-access_spider","B1A4_zh","zh","spider",2015-07-01,22,"Wed",7
"22","BDSM_zh","wikipedia","org_all-access_spider","BDSM_zh","wikipedia","org_all-access_spider","BDSM_zh","zh","spider",2015-07-01,25,"Wed",7
"23","BEAST_zh","wikipedia","org_all-access_spider","BEAST_zh","wikipedia","org_all-access_spider","BEAST_zh","zh","spider",2015-07-01,19,"Wed",7
"24","BIGBANG_zh","wikipedia","org_all-access_spider","BIGBANG_zh","wikipedia","org_all-access_spider","BIGBANG_zh","zh","spider",2015-07-01,23,"Wed",7
"25","BLACK_PINK_zh","wikipedia","org_all-access_spider","BLACK_PINK_zh","wikipedia","org_all-access_spider","BLACK_PINK_zh","zh","spider",2015-07-01,0,"Wed",7
"26","BLEACH_zh","wikipedia","org_all-access_spider","BLEACH_zh","wikipedia","org_all-access_spider","BLEACH_zh","zh","spider",2015-07-01,11,"Wed",7
"27","BTOB_zh","wikipedia","org_all-access_spider","BTOB_zh","wikipedia","org_all-access_spider","BTOB_zh","zh","spider",2015-07-01,22,"Wed",7
"28","Beautiful_Mind_zh","wikipedia","org_all-access_spider","Beautiful_Mind_zh","wikipedia","org_all-access_spider","Beautiful_Mind_zh","zh","spider",2015-07-01,0,"Wed",7
"29","Beyond_zh","wikipedia","org_all-access_spider","Beyond_zh","wikipedia","org_all-access_spider","Beyond_zh","zh","spider",2015-07-01,291,"Wed",7
"30","Big_zh","wikipedia","org_all-access_spider","Big_zh","wikipedia","org_all-access_spider","Big_zh","zh","spider",2015-07-01,3,"Wed",7
"31","Block_B_zh","wikipedia","org_all-access_spider","Block_B_zh","wikipedia","org_all-access_spider","Block_B_zh","zh","spider",2015-07-01,10,"Wed",7
"32","CHAOS;CHILD_zh","wikipedia","org_all-access_spider","CHAOS;CHILD_zh","wikipedia","org_all-access_spider","CHAOS;CHILD_zh","zh","spider",2015-07-01,2,"Wed",7
"33","CHAOS;HEAD_zh","wikipedia","org_all-access_spider","CHAOS;HEAD_zh","wikipedia","org_all-access_spider","CHAOS;HEAD_zh","zh","spider",2015-07-01,1,"Wed",7
"34","CLC_zh","wikipedia","org_all-access_spider","CLC_zh","wikipedia","org_all-access_spider","CLC_zh","zh","spider",2015-07-01,4,"Wed",7
"35","CNBLUE_zh","wikipedia","org_all-access_spider","CNBLUE_zh","wikipedia","org_all-access_spider","CNBLUE_zh","zh","spider",2015-07-01,26,"Wed",7
"36","DIA_zh","wikipedia","org_all-access_spider","DIA_zh","wikipedia","org_all-access_spider","DIA_zh","zh","spider",2015-07-01,13,"Wed",7
"37","Daigo_zh","wikipedia","org_all-access_spider","Daigo_zh","wikipedia","org_all-access_spider","Daigo_zh","zh","spider",2015-07-01,1,"Wed",7
"38","Dear_My_Friends_zh","wikipedia","org_all-access_spider","Dear_My_Friends_zh","wikipedia","org_all-access_spider","Dear_My_Friends_zh","zh","spider",2015-07-01,0,"Wed",7
"39","Doctors_zh","wikipedia","org_all-access_spider","Doctors_zh","wikipedia","org_all-access_spider","Doctors_zh","zh","spider",2015-07-01,0,"Wed",7
"40","EGOIST_zh","wikipedia","org_all-access_spider","EGOIST_zh","wikipedia","org_all-access_spider","EGOIST_zh","zh","spider",2015-07-01,1,"Wed",7
"41","EXID_zh","wikipedia","org_all-access_spider","EXID_zh","wikipedia","org_all-access_spider","EXID_zh","zh","spider",2015-07-01,40,"Wed",7
"42","EXO_zh","wikipedia","org_all-access_spider","EXO_zh","wikipedia","org_all-access_spider","EXO_zh","zh","spider",2015-07-01,35,"Wed",7
"43","Energy_zh","wikipedia","org_all-access_spider","Energy_zh","wikipedia","org_all-access_spider","Energy_zh","zh","spider",2015-07-01,16,"Wed",7
"44","Eric_Nam_zh","wikipedia","org_all-access_spider","Eric_Nam_zh","wikipedia","org_all-access_spider","Eric_Nam_zh","zh","spider",2015-07-01,7,"Wed",7
"45","FAIRY_TAIL_zh","wikipedia","org_all-access_spider","FAIRY_TAIL_zh","wikipedia","org_all-access_spider","FAIRY_TAIL_zh","zh","spider",2015-07-01,8,"Wed",7
"46","FIESTAR_zh","wikipedia","org_all-access_spider","FIESTAR_zh","wikipedia","org_all-access_spider","FIESTAR_zh","zh","spider",2015-07-01,9,"Wed",7
"47","FIRST_CLASS_zh","wikipedia","org_all-access_spider","FIRST_CLASS_zh","wikipedia","org_all-access_spider","FIRST_CLASS_zh","zh","spider",2015-07-01,20,"Wed",7
"48","Facebook_zh","wikipedia","org_all-access_spider","Facebook_zh","wikipedia","org_all-access_spider","Facebook_zh","zh","spider",2015-07-01,65,"Wed",7
"49","Fantastic_Duo_zh","wikipedia","org_all-access_spider","Fantastic_Duo_zh","wikipedia","org_all-access_spider","Fantastic_Duo_zh","zh","spider",2015-07-01,0,"Wed",7
"50","Fate/Grand_Order_zh","wikipedia","org_all-access_spider","Fate/Grand_Order_zh","wikipedia","org_all-access_spider","Fate/Grand_Order_zh","zh","spider",2015-07-01,4,"Wed",7
"51","Fate/Zero_zh","wikipedia","org_all-access_spider","Fate/Zero_zh","wikipedia","org_all-access_spider","Fate/Zero_zh","zh","spider",2015-07-01,0,"Wed",7
"52","Fate/stay_night_zh","wikipedia","org_all-access_spider","Fate/stay_night_zh","wikipedia","org_all-access_spider","Fate/stay_night_zh","zh","spider",2015-07-01,18,"Wed",7
"58","G-Dragon_zh","wikipedia","org_all-access_spider","G-Dragon_zh","wikipedia","org_all-access_spider","G-Dragon_zh","zh","spider",2015-07-01,1,"Wed",7
"60","GFRIEND_zh","wikipedia","org_all-access_spider","GFRIEND_zh","wikipedia","org_all-access_spider","GFRIEND_zh","zh","spider",2015-07-01,4,"Wed",7
"61","GNZ48_zh","wikipedia","org_all-access_spider","GNZ48_zh","wikipedia","org_all-access_spider","GNZ48_zh","zh","spider",2015-07-01,0,"Wed",7
"62","GOT7_zh","wikipedia","org_all-access_spider","GOT7_zh","wikipedia","org_all-access_spider","GOT7_zh","zh","spider",2015-07-01,14,"Wed",7
"63","GUMMY_zh","wikipedia","org_all-access_spider","GUMMY_zh","wikipedia","org_all-access_spider","GUMMY_zh","zh","spider",2015-07-01,1,"Wed",7
"64","Girl's_Day_zh","wikipedia","org_all-access_spider","Girl's_Day_zh","wikipedia","org_all-access_spider","Girl's_Day_zh","zh","spider",2015-07-01,21,"Wed",7
